target_inter_id,target_inter_name,movement,entrance_dir8,entrance_eight_direction,turn_dir_no,exit_dir8,downstream_inter_id,downstream_inter_name,receiving_eight_direction,receiving_turn_dir_no,period,target_overflow_max_pm,target_overflow_mean_pm,target_overflow_max_all,target_sat_max_pm,target_green_util_max_pm,target_queue_max_m_pm,downstream_overflow_max_pm,downstream_sat_max_pm,screen_type,target_overflow_problem,target_sat_problem,target_high_demand,downstream_blocked,downstream_slack,has_downstream_dwd
011wwe28zqr00001,弘文街与正奥路路口,东进口左转,2,3,1,4,011wwe28znc00001,康虹路与正奥路路口,1,1,evening_peak,0.0221,0.0005,0.1057,,,7.2,0.0274,,OTHER,False,False,False,False,True,True
011wwe28zqr00001,弘文街与正奥路路口,东进口直行,2,3,2,6,011wwe28zkz00001,弘文街与正丰路路口,3,2,evening_peak,0.1966,0.0048,0.3262,,,64.0,0.0,,OTHER,False,False,False,False,True,True
011wwe28zqr00001,弘文街与正奥路路口,南进口左转,4,5,1,6,011wwe28zkz00001,弘文街与正丰路路口,3,1,evening_peak,0.0699,0.0036,0.1319,,,19.4,0.1078,,OTHER,False,False,False,False,True,True
011wwe28zsx00001,正丰路与花园东路路口,北进口直行,0,1,2,4,011wwe28zkz00001,弘文街与正丰路路口,1,2,evening_peak,0.0727,0.0158,0.1021,,,35.6,,,OTHER,False,False,False,,,False
011wwe28zsx00001,正丰路与花园东路路口,东进口左转,2,3,1,4,011wwe28zkz00001,弘文街与正丰路路口,1,1,evening_peak,0.067,0.0101,0.2951,,,14.8,,,OTHER,False,False,False,,,False
011wwe28zsx00001,正丰路与花园东路路口,南进口直行,4,5,2,0,011wwe2bbs100001,八涧堡路与轻风路路口,5,2,evening_peak,0.1633,0.0294,0.4334,,,16.2,0.0356,,OTHER,False,False,False,False,True,True
011wwe2909y00001,龙奥北路与龙奥西路路口,南进口左转,4,5,1,6,011wwe28bxq00001,奥体西路与龙奥北路路口,3,1,evening_peak,0.1481,0.0474,0.1833,1.2955,1.2955,64.8,0.0537,1.8264,TYPE2_LINE,False,True,True,True,False,True
011wwe2909y00001,龙奥北路与龙奥西路路口,西进口直行,6,7,2,2,011wwe290ey00001,柳康路与龙奥北路路口,7,2,evening_peak,0.1148,0.0407,0.2912,1.3516,1.3516,32.5,0.3544,0.7616,TYPE1_POINT,False,True,True,False,True,True
011wwe290ey00001,柳康路与龙奥北路路口,西进口直行,6,7,2,2,011wwe290sy00001,荷宁路与龙奥北路路口,7,2,evening_peak,0.3544,0.1466,0.3544,0.7616,0.7616,87.2,0.2757,,WEAK_TYPE1,False,False,False,False,True,True
011wwe290sy00001,荷宁路与龙奥北路路口,东进口直行,2,3,2,6,011wwe290ey00001,柳康路与龙奥北路路口,3,2,evening_peak,0.2449,0.0675,0.5186,,,51.0,0.3107,0.0,OTHER,False,False,False,False,True,True
